"id","team","wiki","region","country","track","kind","section","application","year"
3568,"XH-China","https://2020.igem.org/Team:XH-China","asia","CHN","High School","high-school","high-school","accepted",2020
3698,"XHD-ShanDong-China","https://2020.igem.org/Team:XHD-ShanDong-China","asia","CHN","High School","high-school","high-school","accepted",2020
3560,"XHD-Wuhan-China","https://2020.igem.org/Team:XHD-Wuhan-China","asia","CHN","High School","high-school","high-school","accepted",2020
3567,"xh-shanghai","https://2020.igem.org/Team:xh-shanghai","asia","CHN","High School","high-school","high-school","deleted",2020
3523,"Xiamen_city","https://2020.igem.org/Team:Xiamen_city","asia","CHN","High School","high-school","high-school","accepted",2020
3673,"XJTLU-Software","https://2020.igem.org/Team:XJTLU-Software","asia","CHN",,"collegiate","collegiate","deleted",2020
3331,"XJTU-China","https://2020.igem.org/Team:XJTU-China","asia","CHN","Environment","collegiate","undergrad","accepted",2020
3332,"XMU-China","https://2020.igem.org/Team:XMU-China","asia","CHN","Food & Nutrition","collegiate","undergrad","accepted",2020
3639,"Zimbabwe","https://2020.igem.org/Team:Zimbabwe","africa","ZWE",,"community-lab","collegiate","deleted",2020
3398,"ZJU-China","https://2020.igem.org/Team:ZJU-China","asia","CHN","Diagnostics","collegiate","undergrad","accepted",2020
3405,"ZJUT_China_A","https://2020.igem.org/Team:ZJUT_China_A","asia","CHN",,"collegiate","collegiate","deleted",2020
3406,"ZJUT_China_B","https://2020.igem.org/Team:ZJUT_China_B","asia","CHN","Diagnostics","collegiate","undergrad","accepted",2020
3539,"ZPHNHS-China","https://2020.igem.org/Team:ZPHNHS-China","asia","CHN","High School","high-school","high-school","deleted",2020
